experiment_name_,experiment_type_,decoding_strategy_,model_name_,experiment_version_,Q1_mean,Q1_median,Q1_std,Q1_min,Q1_max,Q1_count,Q2_mean,Q2_median,Q2_std,Q2_min,Q2_max,Q2_count,FOLLOWED_INSTRUCTIONS_mean,FOLLOWED_INSTRUCTIONS_count
Experiment A,alternative,creative,Qwen_Qwen1.5-0.5B-Chat,Pen Mentioned Not Removed,3.0,3.0,,3.0,3.0,1,5.0,5.0,,5.0,5.0,1,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-0.5B-Chat,Pen Mentioned Removed,6.0,6.0,,6.0,6.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-0.5B-Chat,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-1.8B-Chat,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-1.8B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,3.0,3.0,,3.0,3.0,1,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-1.8B-Chat,Pen Not Mentioned,4.0,4.0,,4.0,4.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-110B-Chat,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-110B-Chat,Pen Mentioned Removed,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-110B-Chat,Pen Not Mentioned,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-14B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-14B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-14B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-32B-Chat,Pen Mentioned Not Removed,,,,,,0,,,,,,0,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-32B-Chat,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,4.0,4.0,,4.0,4.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-32B-Chat,Pen Not Mentioned,,,,,,0,,,,,,0,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-4B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-4B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-4B-Chat,Pen Not Mentioned,5.0,5.0,,5.0,5.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-72B-Chat,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-72B-Chat,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-72B-Chat,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-7B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-7B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen1.5-7B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen2-72B-Instruct,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen2-72B-Instruct,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,Qwen_Qwen2-72B-Instruct,Pen Not Mentioned,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2-27b-it,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2-27b-it,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2-27b-it,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
