experiment_name,version,attack,0,0,1,1,mean_score,mean_score
,,,mean,std,mean,std,mean,std
Experiment A,Pen Mentioned Not Removed,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment A,Pen Mentioned Not Removed,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,swap_words,1.0,0.0,6.666666666666667,0.5773502691896257,3.8333333333333335,0.28867513459481287
Experiment A,Pen Mentioned Not Removed,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Not Removed,word_swap_embedding,1.0,,7.0,,4.0,
Experiment A,Pen Mentioned Not Removed,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment A,Pen Mentioned Removed,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,swap_words,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Mentioned Removed,word_swap_embedding,1.0,,7.0,,4.0,
Experiment A,Pen Mentioned Removed,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment A,Pen Not Mentioned,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,swap_words,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment A,Pen Not Mentioned,word_swap_embedding,1.0,,7.0,,4.0,
Experiment A,Pen Not Mentioned,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,caesar_cipher,1.0,0.0,6.0,,1.8333333333333333,1.4433756729740643
Experiment B,Unused Comb,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,swap_words,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Unused Comb,word_swap_embedding,1.0,,7.0,,4.0,
Experiment B,Unused Comb,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment B,Used Comb,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,shuffle_sentences,1.0,0.0,6.0,0.0,3.5,0.0
Experiment B,Used Comb,swap_words,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment B,Used Comb,word_swap_embedding,1.0,,6.0,,3.5,
Experiment B,Used Comb,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,change_character_names,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,context_removal,1.0,0.0,6.666666666666667,0.5773502691896258,3.8333333333333335,0.2886751345948129
Experiment C,Prior Solution Mentioned Not Removed,control,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,swap_words,1.0,0.0,6.666666666666667,0.5773502691896258,3.8333333333333335,0.2886751345948129
Experiment C,Prior Solution Mentioned Not Removed,synonym_replacement,1.0,0.0,6.333333333333333,0.5773502691896257,3.6666666666666665,0.28867513459481287
Experiment C,Prior Solution Mentioned Not Removed,word_swap_embedding,1.0,,7.0,,4.0,
Experiment C,Prior Solution Mentioned Not Removed,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,antonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment C,Prior Solution Mentioned and Removed,change_character_names,1.0,0.0,6.333333333333333,0.5773502691896257,3.6666666666666665,0.28867513459481287
Experiment C,Prior Solution Mentioned and Removed,context_removal,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,control,1.0,0.0,6.666666666666667,0.5773502691896258,3.8333333333333335,0.2886751345948129
Experiment C,Prior Solution Mentioned and Removed,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,swap_words,1.0,0.0,6.0,0.0,3.5,0.0
Experiment C,Prior Solution Mentioned and Removed,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Mentioned and Removed,word_swap_embedding,1.0,,7.0,,4.0,
Experiment C,Prior Solution Mentioned and Removed,word_swap_homoglyph,1.0,0.0,6.333333333333333,0.5773502691896257,3.6666666666666665,0.28867513459481287
Experiment C,Prior Solution Not Mentioned,antonym_replacement,1.0,0.0,6.333333333333333,0.5773502691896257,3.6666666666666665,0.28867513459481287
Experiment C,Prior Solution Not Mentioned,caesar_cipher,1.0,0.0,,,1.0,0.0
Experiment C,Prior Solution Not Mentioned,change_character_names,1.0,0.0,6.0,0.0,3.5,0.0
Experiment C,Prior Solution Not Mentioned,context_removal,1.0,0.0,6.333333333333333,0.5773502691896258,3.6666666666666665,0.2886751345948129
Experiment C,Prior Solution Not Mentioned,control,1.0,0.0,6.0,0.0,3.5,0.0
Experiment C,Prior Solution Not Mentioned,distraction_insertion,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Not Mentioned,introduce_typos,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Not Mentioned,shuffle_sentences,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Not Mentioned,swap_words,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Not Mentioned,synonym_replacement,1.0,0.0,7.0,0.0,4.0,0.0
Experiment C,Prior Solution Not Mentioned,word_swap_embedding,1.0,,7.0,,4.0,
Experiment C,Prior Solution Not Mentioned,word_swap_homoglyph,1.0,0.0,7.0,0.0,4.0,0.0
