experiment_name,version,response
Experiment A Chunks,American Story Old Phoebe Chunks 1,"{'0': 3, '1': 5, '2': 4, '3': 2, '4': 2}"
Experiment A Chunks,American Story Old Phoebe Chunks 2,"{'0': 3, '1': 5, '2': 4, '3': 2, '4': 3}"
Experiment A Chunks,American Story Old Phoebe Chunks 3,"{'0': 3, '1': 2, '2': 4, '3': 1, '4': 1}"
Experiment A Chunks,American Story Old Phoebe Chunks 4,"{'0': 3, '1': 2, '2': 3, '3': 2, '4': 3}"
Experiment A Chunks,American Story Old Phoebe Chunks 5,"{'0': 3, '1': 2, '2': 5, '3': 2, '4': 4}"
Experiment A Chunks,American Story Lottery Chunks 1,"{'0': 3, '1': 2, '2': 6, '3': 2, '4': 3}"
Experiment A Chunks,American Story Lottery Chunks 2,"{'0': 3, '1': 5, '2': 6, '3': 3, '4': 3}"
Experiment A Chunks,American Story Lottery Chunks 3,"{'0': 3, '1': 5, '2': 6, '3': 3, '4': 2}"
Experiment A Chunks,American Story Lottery Chunks 4,"{'0': 3, '1': 2, '2': 6, '3': 3, '4': 3}"
Experiment A Chunks,American Story Lottery Chunks 5,"{'0': 3, '1': 2, '2': 5, '3': 1, '4': 1, '5': 4, '6': 7}"
Experiment A Chunks,American Story Ylla Chunks 1,"{'0': 5, '1': 4, '2': 6, '3': 3, '4': 3}"
Experiment A Chunks,American Story Ylla Chunks 2,"{'0': 7, '1': 2, '2': 7, '3': 6, '4': 3}"
Experiment A Chunks,American Story Ylla Chunks 3,"{'0': 3, '1': 2, '2': 5, '3': 3, '4': 2, '5': 4, '6': 2, '7': 3, '8': 4, '9': 2, '10': 5, '11': 2, '12': 6, '13': 4, '14': 5, '15': 1, '16': 7, '17': 1, '18': 7, '19': 6, '20': 5}"
Experiment A Chunks,American Story Ylla Chunks 4,"{'0': 7, '1': 1, '2': 7, '3': 6, '4': 6}"
Experiment A Chunks,American Story Ylla Chunks 5,"{'0': 3, '1': 4, '2': 5, '3': 2, '4': 2, '5': 7, '6': 7, '7': 7, '8': 4}"
Experiment A Chunks,American Story Flying Chunks 1,"{'0': 5, '1': 3, '2': 6, '3': 6, '4': 5}"
Experiment A Chunks,American Story Flying Chunks 2,"{'0': 3, '1': 2, '2': 5, '3': 4, '4': 3}"
Experiment A Chunks,American Story Flying Chunks 3,"{'0': 5, '1': 3, '2': 6, '3': 2, '4': 5}"
Experiment A Chunks,American Story Flying Chunks 4,"{'0': 3, '1': 4, '2': 5, '3': 2, '4': 4}"
Experiment A Chunks,American Story Flying Chunks 5,"{'0': 3, '1': 2, '2': 5, '3': 1, '4': 4}"
Experiment A Full,American Story Old Phoebe Full,"{'0': 4, '1': 5, '2': 4, '3': 2, '4': 5, '5': 5, '6': 7, '7': 1, '8': 5}"
Experiment A Full,American Story Lottery Full,"{'0': 4, '1': 6, '2': 1, '3': 7, '4': 7, '5': 5, '6': 7, '7': 6, '8': 7}"
Experiment A Full,American Story Ylla Full,{'0': None}
Experiment A Full,American Story Flying Full,"{'0': 4, '1': 5, '2': 3, '3': 2, '4': 5, '5': 5, '6': 6, '7': 1, '8': 6}"
Experiment A Full,American Story Double Birthday Full,{'0': None}
