experiment_name,version,response
Experiment A Chunks,American Story Old Phoebe Chunks 1,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Old Phoebe Chunks 2,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Old Phoebe Chunks 3,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Old Phoebe Chunks 4,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Old Phoebe Chunks 5,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Lottery Chunks 1,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Lottery Chunks 2,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Lottery Chunks 3,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Lottery Chunks 4,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Lottery Chunks 5,"{'Here are the answers to the questions after each paragraph': '', '***Question 1': '*** 4. Neutral or Uncertain', '***Question 2': '*** 1. Not at all', '***Question 3': '*** 4. Neutral or Uncertain', '***Question 4': '*** 2. Slightly surprised', '***Question 5': '*** 1. No irony'}"
