 I would rate this paragraph as a 7 on the 9-point scale for suspensefulness. The narrative builds tension through the description of the imminent liver transplant, the uncertainty about the donor, and the potential danger to the young boy, Robert Bent. The suspense is heightened by the use of phrases like "just the day before," "they differ now awaiting," and "they differ not uncertain," which create a sense of urgency and anticipation. The unexpected twist at the end, where the transplanted liver malfunctions, adds an element of surprise and increases the overall suspensefulness of the paragraph.
####################################################################################################
 I would rate this paragraph as a 5 on the 9-point scale for suspensefulness. While the arrival of the helicopter carrying the organ is an important event in the story, it does not create as much tension or anticipation as the previous paragraph. The use of phrases like "punctually" and "uncritical but unstable condition" provide some information about the situation, but they do not build suspense in the same way as the previous paragraph. Overall, this paragraph is more informative than suspenseful.
####################################################################################################
 I would rate this paragraph as a 6 on the 9-point scale for suspensefulness. The arrival of the men and the mysterious blue fridge create a sense of intrigue and anticipation, as the reader wonders what is inside the fridge and what it means for Robert Bent's condition. The use of the word "meagerly malfunctioning" also adds a sense of urgency and tension, as the reader is reminded of the critical nature of the situation. Overall, this paragraph effectively builds suspense by creating a sense of mystery and uncertainty about the fate of the transplant. 
####################################################################################################
  I would rate this paragraph as a 3 on the 9-point scale for suspensefulness. While the mention of the cleaner mopping the floor creates a sense of setting and atmosphere, it does not directly contribute to the overall suspense of the story. The lack of a "dry floor" sign may seem insignificant in the grand scheme of things, and does not build tension or anticipation in the same way as the previous paragraphs. Overall, this paragraph is more descriptive than suspenseful. 
####################################################################################################
  I would rate this paragraph as a 6 on the 9-point scale for suspensefulness. The use of the word "disenchant" creates a sense of mystery and intrigue, as the reader wonders why the men are choosing to take the service stairwell instead of the elevator. The decision to ride down the stairwell also adds a sense of danger and urgency, as the reader may be concerned about the men's safety and the condition of the liver. Overall, this paragraph effectively builds suspense by creating a sense of uncertainty and anticipation about what will happen next.   ​
####################################################################################################
   I would rate this paragraph as a 7 on the 9-point scale for suspensefulness. The sudden and unexpected event of the man slipping on the stairs creates a sense of tension and drama, as the reader wonders what will happen to the liver and the man carrying it. The use of the word "plunged" also adds a sense of danger and urgency, as the reader may be concerned about the fragile nature of the organ and the potential consequences of the fall. Overall, this paragraph effectively builds suspense by creating a sense of uncertainty and anticipation about the fate of the transplant.   ​
####################################################################################################
   I would rate this paragraph as a 6 on the 9-point scale for suspensefulness. The use of the word "immediately" creates a sense of urgency and tension, as the reader wonders what will happen to the liver and the man who has lost his footing. The fact that the liver is not handled until the doctors arrive adds a sense of danger and uncertainty, as the reader may be concerned about the organ's condition and the potential consequences of any delay. Overall, this paragraph effectively builds suspense by creating a sense of urgency and anticipation about the fate of the transplant.   ​ 
####################################################################################################
    I would rate this paragraph as a 4 on the 9-point scale for suspensefulness. While the doctors leaving creates a sense of movement and action, it does not necessarily build suspense in the same way as the previous paragraphs. The reader is left wondering what will happen to the liver and the man who has lost his footing, but the doctors leaving does not necessarily add to the tension or anticipation. Overall, this paragraph is more informative than suspenseful.   ​ 
####################################################################################################
    I would rate this paragraph as a 7 on the 9-point scale for suspensefulness. The discovery that the exterior bag has ruptured creates a sense of tension and drama, as the reader wonders what this means for the liver and the transplant. The use of the word "ruptured" adds a sense of urgency and danger, as the reader may be concerned about the organ's condition and the potential consequences of any damage. Overall, this paragraph effectively builds suspense by creating a sense of uncertainty and anticipation about the fate of the transplant.   ​   ​
####################################################################################################
     I would rate this paragraph as a 5 on the 9-point scale for suspensefulness. While the biopsy adds a sense of action and movement, it does not necessarily build suspense in the same way as the previous paragraphs. The reader is still left wondering about the fate of the liver, but the biopsy does not add to the tension or anticipation. Overall, this paragraph is more informative than suspenseful.   ​   ​  ​
####################################################################################################
     I would rate this paragraph as a 7 on the 9-point scale for suspensefulness. The discovery that the liver is not usable for the transplant creates a sense of tension and drama, as the reader wonders what will happen to Robert Bent and the team's efforts to save him. The use of the word "impact" adds a sense of urgency and danger, as the reader may be concerned about the consequences of not being able to perform the transplant. Overall, this paragraph effectively builds suspense by creating a sense of uncertainty and anticipation about the fate of the patient.   ​   ​  ​  ​
####################################################################################################
      I would rate this paragraph as a 7 on the 9-point scale for suspensefulness. The confirmation that the transplanted liver has malfunctioned creates a sense of tension and drama, as the reader wonders what will happen to Robert Bent and the team's efforts to save him. The use of the word "malfunction" adds a sense of urgency and danger, as the reader may be concerned about the consequences of the failed transplant. Overall, this paragraph effectively builds suspense by creating a sense of uncertainty and anticipation about the fate of the patient.   ​   ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​  ​
