line_nr,screen_nr,line_nr_on_screen,text
"0","1","1","Es ist schlecht für einen jungen Mann, wenn er kostspielige Neigungen hat, große Erwartungen, aristokratische Verbindungen,"
"1","1","2","jedoch kein Geld in der Tasche und keinen Beruf, in dem er etwas verdienen könnte. Die Sache war die: Mein Vater, ein guter,"
"2","1","3","zuversichtlicher, umgänglicher Mann, hatte solches Vertrauen in den Reichtum und die Mildtätigkeit seines unverheirateten"
"3","1","4","älteren Bruders, Lord Southerton, daß er es für ausgemacht hielt, daß ich, sein einziger Sohn, mir nie meinen Lebensunterhalt"
"4","1","5","würde verdienen müssen. Gab es keine Vakanz auf den großen Southerton-Gütern, so würde sich, seiner Meinung nach,"
"5","1","6","zumindest irgendein Posten im diplomatischen Dienst für mich finden, der noch immer die Domäne für unsere privilegierten"
"6","1","7","Klassen darstellte. Er starb zu früh, um zu erkennen, wie falsch seine Überlegungen gewesen waren. Weder mein Onkel noch"
"7","1","8","der Staat nahmen die geringste Notiz von mir oder zeigten irgendwelches Interesse an meiner Karriere. Einige Fasanen oder ein"
"8","1","9","paar Hasen, das war alles, was mir gelegentlich zeigte, daß ich Erbe von Otwell House und einem der reichsten Güter im Lande"
"9","1","10","war. Unterdessen führte ich ein städtisches Junggesellenleben und bewohnte eine Appartement-Suite in Grosvenor Mansions —"
"10","2","1","ohne Beschäftigung außer Taubenschießen und Polospielen in Hurlingham. Jeden Monat merkte ich deutlicher, daß es immer"
"11","2","2","schwieriger wurde, Zahlungsaufschub zu erlangen oder weitere Post-obits auf einen Besitz zu kassieren, der mir überhaupt nicht"
"12","2","3","als Erblehen übertragen war. Der Ruin stand unmittelbar bevor, und jeden Tag sah ich ihn klarer, näher und unabwendbarer."
"13","2","4"," Was mir meine Armut noch fühlbarer machte, war die Tatsache, daß — vom großen Reichtum Lord Southertons abgesehen —"
"14","2","5","alle meine Verwandten recht bemittelt waren. Der mir nächste war Everard King, ein Neffe meines Vaters und somit mein Vetter"
"15","2","6","ersten Grades, der in Brasilien ein abenteuerliches Leben geführt hatte und jetzt zurückgekehrt war, um sich auf seinem"
"16","2","7","Vermögen auszuruhen. Wir haben nie erfahren, wie er zu seinem Gelde gekommen ist, doch schien er’s reichlich zu haben, denn"
"17","2","8","er kaufte die Besitzung Greylands nahe Clipton-on-the-Marsh in Suffolk. Im ersten Jahr seines Aufenthalts in England nahm er"
"18","2","9","ebensowenig Notiz von mir wie mein geiziger Onkel, doch an einem Sommermorgen endlich erhielt ich — zu meiner größten"
"19","2","10","Erleichterung und Freude — einen Brief, in dem ich gebeten wurde, am gleichen Tag zu kommen und Greylands Court einen"
"20","3","1","kurzen Besuch abzustatten. Zu dieser Zeit erwartete ich einen ziemlich langen Besuch im Bankrott Court, meiner Schulden"
"21","3","2","wegen, und so kam diese Einladung fast wie von der Vorsehung geschickt. Kam ich mit diesem unbekannten Verwandten zu"
"22","3","3","einer Einigung, mochte ich vielleicht noch einmal davonkommen. Der Familie wegen konnte er mich nicht gänzlich vor die Hunde"
"23","3","4","gehen lassen. Ich wies meinen Diener an, den Koffer zu packen, und am gleichen Abend setzte ich mich nach"
"24","3","5","Clipton-on-the-Marsh in Bewegung. "
"25","3","6",""Nachdem ich in Ipswich umgestiegen war, brachte mich eine kleine Bummelbahn zu einem winzigen, verlassenen Bahnhof"," er lag""
"26","3","7",""in hügeligem Weideland, durch dessen Niederungen sich ein träger Fluß wand"," seine hohen verschlammten Uferböschungen""
"27","3","8","zeigten an, daß wir in Reichweite der Gezeiten waren. Kein Wagen erwartete mich (wie ich später erfuhr, war mein Telegramm"
"28","3","9","nicht rechtzeitig angekommen), also mietete ich im Gasthaus einen Dogcart. Der Fahrer, ein famoser Bursche, war voll des Lobes"
"29","3","10","über meinen Verwandten, und von ihm erfuhr ich, daß der Name Everard King in diesem Teil des Landes bereits einer"
"30","4","1","Zauberformel glich. Er bewirtete die Schulkinder, machte sein Anwesen Besuchern zugänglich, gab Geld für gute Zwecke — kurz:"
"31","4","2","Seine Mildtätigkeit war derart umfassend, daß mein Fahrer sie nur damit erklären konnte, daß mein Cousin parlamentarische"
"32","4","3","Ambitionen haben müsse. "
"33","4","4","Von der Lobrede meines Fahrers lenkte mich ein sehr schöner Vogel ab, der auf einem Telegraphenmast am Straßenrande"
"34","4","5","hockte. Zuerst hielt ich ihn für einen Eichelhäher, aber er war größer und hatte ein bunteres Gefieder. Der Fahrer erklärte"
"35","4","6",""sogleich seine Anwesenheit"," er sagte, er gehöre dem Manne, zu dem wir unterwegs seien. Es schien, als sei die Akklimatisierung""
"36","4","7",""fremder Tiere eines seiner Hobbies"," er hatte wohl aus Brasilien eine Anzahl von Vögeln und anderen Tieren mitgebracht, die er""
"37","4","8","in England heimisch machen wollte. "
"38","4","9","Als wir das Tor von Greylands Park durchfahren hatten, sahen wir zahlreiche Beweise seiner Liebhaberei. Eine Art kleinen,"
"39","4","10","gefleckten Rehes, ein seltsames Wildschwein (Peccary genannt, glaube ich), eine prachtvoll gefiederte Goldamsel, ein"
"40","5","1","Armadillo-ähnliches Wesen und ein seltsames, einwärts laufendes Geschöpf wie ein sehr fetter Dachs — das waren einige der"
