poem_id,stanza_id,line_id,total_lines_in_stanza,total_stanzas_in_poem,id_stanza_in_poem,id_line_in_stanza,title,line_text,emotion1anno1,emotion2anno1,emotion1anno2,emotion2anno2
1,1,1,6,4,1,1,since feeling is first,since feeling is first,Sadness,,Sadness,
1,1,2,6,4,1,2,since feeling is first,who pays any attention,Sadness,,Sadness,
1,1,3,6,4,1,3,since feeling is first,to the syntax of things,Sadness,,Sadness,
1,1,4,6,4,1,4,since feeling is first,will never wholly kiss you;,Sadness,,Sadness,
1,1,5,6,4,1,5,since feeling is first,wholly to be a fool,Sadness,,Sadness,
1,1,6,6,4,1,6,since feeling is first,while Spring is in the world,Sadness,,Sadness,
1,2,1,6,4,2,1,since feeling is first,my blood approves,Beauty / Joy,,Beauty / Joy,
1,2,2,6,4,2,2,since feeling is first,and kisses are a better fate,Beauty / Joy,,Beauty / Joy,
1,2,3,6,4,2,3,since feeling is first,than wisdom,Beauty / Joy,,Beauty / Joy,
1,2,4,6,4,2,4,since feeling is first,"lady i swear by all flowers. Don""t cry",Beauty / Joy,,Beauty / Joy,
1,2,5,6,4,2,5,since feeling is first,—the best gesture of my brain is less than,Beauty / Joy,,Beauty / Joy,
1,2,6,6,4,2,6,since feeling is first,"your eyelids"" flutter which says",Beauty / Joy,,Beauty / Joy,
1,3,1,3,4,3,1,since feeling is first,we are for each other: then,Beauty / Joy,,Beauty / Joy,
1,3,2,3,4,3,2,since feeling is first,"laugh, leaning back in my arms",Beauty / Joy,,Beauty / Joy,
1,3,3,3,4,3,3,since feeling is first,"for life""s not a paragraph",Beauty / Joy,,Awe / Sublime,Beauty / Joy
1,4,1,1,4,4,1,since feeling is first,and death i think is no parenthesis,Sadness,,Awe / Sublime,Sadness
2,1,1,14,1,1,1,How Do I Love Thee? (Sonnet 43),How do I love thee? Let me count the ways.,Beauty / Joy,Awe / Sublime,Beauty / Joy,
2,1,2,14,1,1,2,How Do I Love Thee? (Sonnet 43),I love thee to the depth and breadth and height,Beauty / Joy,Awe / Sublime,Beauty / Joy,
2,1,3,14,1,1,3,How Do I Love Thee? (Sonnet 43),"My soul can reach, when feeling out of sight",Beauty / Joy,Awe / Sublime,Beauty / Joy,
2,1,4,14,1,1,4,How Do I Love Thee? (Sonnet 43),For the ends of being and ideal grace.,Beauty / Joy,Awe / Sublime,Beauty / Joy,
2,1,5,14,1,1,5,How Do I Love Thee? (Sonnet 43),"I love thee to the level of every day""s",Beauty / Joy,,Beauty / Joy,
2,1,6,14,1,1,6,How Do I Love Thee? (Sonnet 43),"Most quiet need, by sun and candle-light.",Beauty / Joy,,Beauty / Joy,
2,1,7,14,1,1,7,How Do I Love Thee? (Sonnet 43),"I love thee freely, as men strive for right.",Beauty / Joy,,Beauty / Joy,
2,1,8,14,1,1,8,How Do I Love Thee? (Sonnet 43),"I love thee purely, as they turn from praise.",Beauty / Joy,,Beauty / Joy,
2,1,9,14,1,1,9,How Do I Love Thee? (Sonnet 43),I love thee with the passion put to use,Beauty / Joy,,Beauty / Joy,
2,1,10,14,1,1,10,How Do I Love Thee? (Sonnet 43),"In my old griefs, and with my childhood""s faith.",Beauty / Joy,,Beauty / Joy,
2,1,11,14,1,1,11,How Do I Love Thee? (Sonnet 43),I love thee with a love I seemed to lose,Beauty / Joy,Awe / Sublime,Beauty / Joy,Awe / Sublime
2,1,12,14,1,1,12,How Do I Love Thee? (Sonnet 43),"With my lost saints. I love thee with the breath,",Beauty / Joy,Awe / Sublime,Beauty / Joy,Awe / Sublime
2,1,13,14,1,1,13,How Do I Love Thee? (Sonnet 43),"Smiles, tears, of all my life; and, if God choose,",Beauty / Joy,Awe / Sublime,Beauty / Joy,Awe / Sublime
2,1,14,14,1,1,14,How Do I Love Thee? (Sonnet 43),I shall but love thee better after death.,Beauty / Joy,Awe / Sublime,Beauty / Joy,Awe / Sublime
3,1,1,7,3,1,1,The Good-Morrow,"I wonder, by my troth, what thou and I",Beauty / Joy,,Beauty / Joy,
3,1,2,7,3,1,2,The Good-Morrow,"Did, till we loved? Were we not weaned till then?",Beauty / Joy,,Beauty / Joy,
3,1,3,7,3,1,3,The Good-Morrow,"But sucked on country pleasures, childishly?",Beauty / Joy,,Beauty / Joy,
3,1,4,7,3,1,4,The Good-Morrow,Or snorted we in the Seven Sleepers’ den?,Beauty / Joy,,Beauty / Joy,
3,1,5,7,3,1,5,The Good-Morrow,"’Twas so; but this, all pleasures fancies be.",Beauty / Joy,,Beauty / Joy,
3,1,6,7,3,1,6,The Good-Morrow,"If ever any beauty I did see,",Beauty / Joy,,Beauty / Joy,
3,1,7,7,3,1,7,The Good-Morrow,"Which I desired, and got, ’twas but a dream of thee.",Beauty / Joy,,Beauty / Joy,
3,2,1,7,3,2,1,The Good-Morrow,"And now good-morrow to our waking souls,",Beauty / Joy,,Beauty / Joy,
3,2,2,7,3,2,2,The Good-Morrow,Which watch not one another out of fear;,Beauty / Joy,,Beauty / Joy,
3,2,3,7,3,2,3,The Good-Morrow,"For love, all love of other sights controls,",Beauty / Joy,,Beauty / Joy,
3,2,4,7,3,2,4,The Good-Morrow,And makes one little room an everywhere.,Beauty / Joy,,Beauty / Joy,
3,2,5,7,3,2,5,The Good-Morrow,"Let sea-discoverers to new worlds have gone,",Vitality,,Vitality,
3,2,6,7,3,2,6,The Good-Morrow,"Let maps to other, worlds on worlds have shown,",Vitality,,Vitality,
3,2,7,7,3,2,7,The Good-Morrow,"Let us possess one world, each hath one, and is one.",Vitality,,Vitality,
3,3,1,7,3,3,1,The Good-Morrow,"My face in thine eye, thine in mine appears,",Beauty / Joy,,Beauty / Joy,
3,3,2,7,3,3,2,The Good-Morrow,And true plain hearts do in the faces rest;,Beauty / Joy,,Beauty / Joy,
3,3,3,7,3,3,3,The Good-Morrow,"Where can we find two better hemispheres,",Beauty / Joy,,Beauty / Joy,
3,3,4,7,3,3,4,The Good-Morrow,"Without sharp north, without declining west?",Beauty / Joy,,Beauty / Joy,
3,3,5,7,3,3,5,The Good-Morrow,"Whatever dies, was not mixed equally;",Beauty / Joy,Awe / Sublime,Vitality,
3,3,6,7,3,3,6,The Good-Morrow,"If our two loves be one, or, thou and I",Beauty / Joy,Awe / Sublime,Vitality,
3,3,7,7,3,3,7,The Good-Morrow,"Love so alike, that none do slacken, none can die.",Beauty / Joy,Awe / Sublime,Vitality,
4,1,1,8,1,1,1,Happy the man,"Happy the man, and happy he alone,",Beauty / Joy,Awe / Sublime,Awe / Sublime,Beauty / Joy
4,1,2,8,1,1,2,Happy the man,He who can call today his own:,Beauty / Joy,Awe / Sublime,Awe / Sublime,Beauty / Joy
4,1,3,8,1,1,3,Happy the man,"He who, secure within, can say,",Beauty / Joy,Awe / Sublime,Awe / Sublime,Beauty / Joy
4,1,4,8,1,1,4,Happy the man,"Tomorrow do thy worst, for I have lived today.",Beauty / Joy,Awe / Sublime,Awe / Sublime,Beauty / Joy
